ENERGY,NELE_1,NELE_2,NELE_3,NELE_4,NELE_5,NELE_6,NELE_7,NELE_8
1.63,1.3615169661129462e-23,1.875190973513777e-23,1.8801296801663997e-23,1.0058368942142571e-22,1.5773962526344515e-22,2.844184171424511e-21,2.743140537231848e-22,7.564205539231378e-23
1.64,1.2828672641066206e-23,1.7749414648855008e-23,1.7707386874629226e-23,9.487898632609295e-23,1.122830830653303e-22,3.113273155510507e-21,2.5054674485053043e-22,6.85695085106403e-23
1.65,4.423050208471828e-22,1.6883654714888887e-23,1.677492959137918e-23,8.996813516087398e-23,9.223355881379527e-23,1.951328349279122e-21,2.324632274970588e-22,6.346257726872491e-23
1.66,1.3204393951587721e-22,1.61274503794591e-23,1.5969581306862808e-23,8.563681144484475e-23,8.033415143477331e-23,1.6937746151150672e-21,2.533126797387822e-22,5.94486668248333e-23
1.67,8.172037958599458e-23,2.26465304805357e-22,1.5266241706292705e-23,8.184361702375938e-23,7.220330430223576e-23,1.3583641468608263e-21,2.510460865997195e-22,5.605767204631717e-23
1.68,6.081093502086386e-23,3.035900500236048e-22,1.4646116992484143e-23,7.85780644744967e-23,6.61768608427339e-23,5.93681778956401e-21,2.1952457831837254e-22,5.32830909972654e-23
1.69,4.9340714710729653e-23,1.4244094650490741e-22,1.40948405775056e-23,2.845644709320885e-15,6.146938347940654e-23,2.2875795709550046e-21,2.0337770941465977e-22,5.0895823356370634e-23
1.7,4.2019853788760104e-23,9.882145374305624e-23,1.0056720117268316e-22,1.001674282891232e-18,5.765532822871898e-23,1.5376882592643116e-21,5.455499580984637e-22,4.8810643033939194e-23
1.71,3.691191426356635e-23,7.744720771816899e-23,1.5198573907499552e-22,1.5571585697330337e-19,5.44810188256782e-23,1.1852736749655255e-21,2.0024211117776366e-22,4.6967690623076975e-23
1.72,3.3127339993499106e-23,6.450388072135825e-23,3.461835236200782e-22,3.086174517539665e-20,5.178426495152418e-23,9.710497849246866e-22,3.262112421299371e-22,4.5223965477694194e-23
1.73,3.0199528197475266e-23,5.589198366556155e-23,1.270612076648992e-22,1.1253632292672519e-20,4.9455678775170087e-23,1.8735567908060867e-21,2.27154750300209e-22,4.374556954757831e-23
1.74,2.785974314230494e-23,4.9681065090683137e-23,8.724023351852416e-23,6.5927676374256344e-21,4.74183178836317e-23,1.1473192878711157e-21,2.0000809223758203e-22,4.862432994612774e-22
1.75,2.5846014976153004e-23,4.4972524311010676e-23,6.879435177906188e-23,3.422346108889088e-21,4.56161960941252e-23,8.255812095158802e-22,1.8517313936134138e-22,1.2806521307207465e-22
1.76,2.4249651765141197e-23,4.116966422282589e-23,5.771841841293145e-23,1.9932622814335104e-21,4.400742391508151e-23,6.906894978134567e-22,1.7504768737393936e-22,8.869605765948186e-23
1.77,2.289230731789296e-23,3.8086245404456256e-23,5.0341318790453136e-23,1.9678157627391572e-21,4.255991943339261e-23,6.0367890233580985e-22,1.896636477158243e-22,7.303177640894274e-23
1.78,2.1722302061658245e-23,3.5620507213084897e-23,4.499863602543347e-23,2.6603299347035443e-17,4.12486208479844e-23,5.394269819009893e-22,1.7475919768678885e-22,6.435247037064611e-23
1.79,2.070208903359504e-23,3.344327735426773e-23,4.092993221315883e-23,2.125390206087617e-18,4.0053614624352605e-23,4.887836041282136e-22,5.277250464524613e-22,5.879575923185941e-23
1.8,3.554147140960113e-21,3.16675800872635e-23,3.771610322015163e-23,5.101607853811996e-19,3.408231390902856e-21,4.473724185439947e-22,2.9171619389431284e-22,5.473398813883114e-23
