ENERGY,XSECTN
54.1,1.6788459869373954e-20
54.2,1.6528346397698892e-20
54.3,1.6274422076840483e-20
54.4,1.6026676468782356e-20
54.5,1.578470854764591e-20
54.6,1.554852592838215e-20
54.7,1.5317843673273554e-20
54.8,1.5092485216959326e-20
54.9,1.4872281367848457e-20
55.0,1.4657069922781644e-20
55.1,1.444669530607709e-20
55.2,1.4241008231145708e-20
55.3,1.403986538301621e-20
55.4,1.384312912025053e-20
55.5,1.365066719485628e-20
55.6,1.3462352488918815e-20
55.7,1.3278062766777949e-20
55.8,1.3097680441671124e-20
55.9,1.2921092355849008e-20
56.0,1.2748189573248973e-20
56.1,1.2578867183882762e-20
56.2,1.241302411916002e-20
56.3,1.2250562977428578e-20
56.4,1.2091389859067008e-20
56.5,1.1935314269051878e-20
56.6,1.1782449005727434e-20
56.7,1.1632609559745023e-20
56.8,1.148571456098534e-20
56.9,1.1341685440097544e-20
57.0,1.1200446309458202e-20
57.1,1.1061923850212174e-20
57.2,1.092604720503057e-20
57.3,1.0792747876245975e-20
57.4,1.0661959629048322e-20
57.5,1.0533618399446503e-20
57.6,1.0407662206720114e-20
57.7,1.028403107010445e-20
57.8,1.0162666929468794e-20
57.9,1.0043513569763231e-20
58.0,9.926516549024386e-21
58.1,9.811623129743365e-21
58.2,9.698782213411995e-21
58.3,9.587944278075046e-21
58.4,9.479061318726359e-21
58.5,9.372086790397878e-21
58.6,9.266975553798403e-21
58.7,9.163683823369085e-21
58.8,9.062069184769206e-21
58.9,8.96229039150797e-21
59.0,8.864207384131228e-21
59.1,8.76778131664756e-21
59.2,8.672974469175062e-21
59.3,8.57975020810205e-21
59.4,8.488072947925725e-21
59.5,8.397908114686518e-21
59.6,8.309222110919755e-21
59.7,8.221982282051592e-21
59.8,8.136156884169643e-21
59.9,8.051715053102642e-21
60.0,7.968626774747276e-21
60.1,7.886862856583462e-21
60.2,7.8063949003227e-21
60.3,7.72689575661128e-21
60.4,7.648938167251985e-21
60.5,7.572195851037618e-21
60.6,7.49664333397564e-21
60.7,7.422255814798592e-21
60.8,7.349009143400047e-21
60.9,7.276879800089151e-21
61.0,7.205844875627616e-21
61.1,7.135882052014946e-21
61.2,7.066969583989228e-21
61.3,6.999086281212499e-21
61.4,6.932211491111498e-21
61.5,6.866225101188447e-21
61.6,6.801307779347823e-21
61.7,6.7372402150155205e-21
61.8,6.674203685367527e-21
61.9,6.6120799119588754e-21
62.0,6.550751249620167e-21
62.1,6.490400372201765e-21
62.2,6.430910280007055e-21
62.3,6.3722644834607486e-21
62.4,6.314446889660686e-21
62.5,6.2574417908460005e-21
62.6,6.201133894232917e-21
62.7,6.145708333170654e-21
62.8,6.091050344770409e-21
62.9,6.037145654190419e-21
63.0,5.98398031969489e-21
63.1,5.931540723271659e-21
